Enrollment/Roll Number,Enrollment Number,Academic Session,Full Name,Branch,Mobile Number,Address,Department,School,Current Year of Study,Current Semester,Section
235UCA006,2300100166,2026-2027,Vanya Bansal,Computer Applications,9876000166,Agra Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,A
235UCA007,2300100167,2026-2027,Vihaan Malhotra,Computer Applications,9876000167,Mathura Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,A
235UCA008,2300100168,2026-2027,Zara Sharma,Computer Applications,9876000168,Aligarh Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,A
235UCA009,2300100169,2026-2027,Aarav Yadav,Computer Applications,9876000169,Hapur Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,A
235UCA010,2300100170,2026-2027,Aditi Tiwari,Computer Applications,9876000170,Bulandshahr Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,A
235UCA011,2300100171,2026-2027,Advik Khan,Computer Applications,9876000171,Greater Noida Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,B
235UCA012,2300100172,2026-2027,Ananya Kumar,Computer Applications,9876000172,Noida Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,B
235UCA013,2300100173,2026-2027,Arjun Kapoor,Computer Applications,9876000173,Ghaziabad Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,B
235UCA014,2300100174,2026-2027,Avni Saini,Computer Applications,9876000174,Delhi,Computer Applications,School of Information and Communication Technology,2,3,B
235UCA015,2300100175,2026-2027,Dev Verma,Computer Applications,9876000175,Meerut Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,B
235UCA016,2300100176,2026-2027,Diya Mehta,Computer Applications,9876000176,Agra Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,B
235UCA017,2300100177,2026-2027,Ishaan Agarwal,Computer Applications,9876000177,Mathura Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,B
235UCA018,2300100178,2026-2027,Kavya Srivastava,Computer Applications,9876000178,Aligarh Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,B
235UCA019,2300100179,2026-2027,Krish Mishra,Computer Applications,9876000179,Hapur Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,B
235UCA020,2300100180,2026-2027,Meera Chauhan,Computer Applications,9876000180,Bulandshahr Uttar Pradesh,Computer Applications,School of Information and Communication Technology,2,3,B
235UCC001,2300100181,2026-2027,Naksh Arora,Cyber Security,9876000181,Greater Noida Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,A
235UCC002,2300100182,2026-2027,Navya Singh,Cyber Security,9876000182,Noida Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,A
235UCC003,2300100183,2026-2027,Pranav Joshi,Cyber Security,9876000183,Ghaziabad Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,A
235UCC004,2300100184,2026-2027,Riya Jain,Cyber Security,9876000184,Delhi,Cyber Security,School of Information and Communication Technology,2,3,A
235UCC005,2300100185,2026-2027,Rohan Chandra,Cyber Security,9876000185,Meerut Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,A
235UCC006,2300100186,2026-2027,Saanvi Patel,Cyber Security,9876000186,Agra Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,A
235UCC007,2300100187,2026-2027,Samarth Saxena,Cyber Security,9876000187,Mathura Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,A
235UCC008,2300100188,2026-2027,Siya Rao,Cyber Security,9876000188,Aligarh Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,A
235UCC009,2300100189,2026-2027,Vedant Gupta,Cyber Security,9876000189,Hapur Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,A
235UCC010,2300100190,2026-2027,Vanya Bansal,Cyber Security,9876000190,Bulandshahr Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,A
235UCC011,2300100191,2026-2027,Vihaan Malhotra,Cyber Security,9876000191,Greater Noida Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,B
235UCC012,2300100192,2026-2027,Zara Sharma,Cyber Security,9876000192,Noida Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,B
235UCC013,2300100193,2026-2027,Aarav Yadav,Cyber Security,9876000193,Ghaziabad Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,B
235UCC014,2300100194,2026-2027,Aditi Tiwari,Cyber Security,9876000194,Delhi,Cyber Security,School of Information and Communication Technology,2,3,B
235UCC015,2300100195,2026-2027,Advik Khan,Cyber Security,9876000195,Meerut Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,B
235UCC016,2300100196,2026-2027,Ananya Kumar,Cyber Security,9876000196,Agra Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,B
235UCC017,2300100197,2026-2027,Arjun Kapoor,Cyber Security,9876000197,Mathura Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,B
235UCC018,2300100198,2026-2027,Avni Saini,Cyber Security,9876000198,Aligarh Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,B
235UCC019,2300100199,2026-2027,Dev Verma,Cyber Security,9876000199,Hapur Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,B
235UCC020,2300100200,2026-2027,Diya Mehta,Cyber Security,9876000200,Bulandshahr Uttar Pradesh,Cyber Security,School of Information and Communication Technology,2,3,B
235UCD001,2300100201,2026-2027,Ishaan Agarwal,Data Science,9876000201,Greater Noida Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,A
235UCD002,2300100202,2026-2027,Kavya Srivastava,Data Science,9876000202,Noida Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,A
235UCD003,2300100203,2026-2027,Krish Mishra,Data Science,9876000203,Ghaziabad Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,A
235UCD004,2300100204,2026-2027,Meera Chauhan,Data Science,9876000204,Delhi,Data Science,School of Information and Communication Technology,2,3,A
235UCD005,2300100205,2026-2027,Naksh Arora,Data Science,9876000205,Meerut Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,A
235UCD006,2300100206,2026-2027,Navya Singh,Data Science,9876000206,Agra Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,A
235UCD007,2300100207,2026-2027,Pranav Joshi,Data Science,9876000207,Mathura Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,A
235UCD008,2300100208,2026-2027,Riya Jain,Data Science,9876000208,Aligarh Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,A
235UCD009,2300100209,2026-2027,Rohan Chandra,Data Science,9876000209,Hapur Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,A
235UCD010,2300100210,2026-2027,Saanvi Patel,Data Science,9876000210,Bulandshahr Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,A
235UCD011,2300100211,2026-2027,Samarth Saxena,Data Science,9876000211,Greater Noida Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,B
235UCD012,2300100212,2026-2027,Siya Rao,Data Science,9876000212,Noida Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,B
235UCD013,2300100213,2026-2027,Vedant Gupta,Data Science,9876000213,Ghaziabad Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,B
235UCD014,2300100214,2026-2027,Vanya Bansal,Data Science,9876000214,Delhi,Data Science,School of Information and Communication Technology,2,3,B
235UCD015,2300100215,2026-2027,Vihaan Malhotra,Data Science,9876000215,Meerut Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,B
235UCD016,2300100216,2026-2027,Zara Sharma,Data Science,9876000216,Agra Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,B
235UCD017,2300100217,2026-2027,Aarav Yadav,Data Science,9876000217,Mathura Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,B
235UCD018,2300100218,2026-2027,Aditi Tiwari,Data Science,9876000218,Aligarh Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,B
235UCD019,2300100219,2026-2027,Advik Khan,Data Science,9876000219,Hapur Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,B
235UCD020,2300100220,2026-2027,Ananya Kumar,Data Science,9876000220,Bulandshahr Uttar Pradesh,Data Science,School of Information and Communication Technology,2,3,B
235UCM001,2300100221,2026-2027,Arjun Kapoor,Machine Learning,9876000221,Greater Noida Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,A
235UCM002,2300100222,2026-2027,Avni Saini,Machine Learning,9876000222,Noida Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,A
235UCM003,2300100223,2026-2027,Dev Verma,Machine Learning,9876000223,Ghaziabad Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,A
235UCM004,2300100224,2026-2027,Diya Mehta,Machine Learning,9876000224,Delhi,Machine Learning,School of Information and Communication Technology,2,3,A
235UCM005,2300100225,2026-2027,Ishaan Agarwal,Machine Learning,9876000225,Meerut Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,A
235UCM006,2300100226,2026-2027,Kavya Srivastava,Machine Learning,9876000226,Agra Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,A
235UCM007,2300100227,2026-2027,Krish Mishra,Machine Learning,9876000227,Mathura Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,A
235UCM008,2300100228,2026-2027,Meera Chauhan,Machine Learning,9876000228,Aligarh Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,A
235UCM009,2300100229,2026-2027,Naksh Arora,Machine Learning,9876000229,Hapur Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,A
235UCM010,2300100230,2026-2027,Navya Singh,Machine Learning,9876000230,Bulandshahr Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,A
235UCM011,2300100231,2026-2027,Pranav Joshi,Machine Learning,9876000231,Greater Noida Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,B
235UCM012,2300100232,2026-2027,Riya Jain,Machine Learning,9876000232,Noida Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,B
235UCM013,2300100233,2026-2027,Rohan Chandra,Machine Learning,9876000233,Ghaziabad Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,B
235UCM014,2300100234,2026-2027,Saanvi Patel,Machine Learning,9876000234,Delhi,Machine Learning,School of Information and Communication Technology,2,3,B
235UCM015,2300100235,2026-2027,Samarth Saxena,Machine Learning,9876000235,Meerut Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,B
235UCM016,2300100236,2026-2027,Siya Rao,Machine Learning,9876000236,Agra Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,B
235UCM017,2300100237,2026-2027,Vedant Gupta,Machine Learning,9876000237,Mathura Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,B
235UCM018,2300100238,2026-2027,Vanya Bansal,Machine Learning,9876000238,Aligarh Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,B
235UCM019,2300100239,2026-2027,Vihaan Malhotra,Machine Learning,9876000239,Hapur Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,B
235UCM020,2300100240,2026-2027,Zara Sharma,Machine Learning,9876000240,Bulandshahr Uttar Pradesh,Machine Learning,School of Information and Communication Technology,2,3,B
235UCS001,2300100241,2026-2027,Aarav Yadav,Computer Science and Engineering,9876000241,Greater Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235UCS002,2300100242,2026-2027,Aditi Tiwari,Computer Science and Engineering,9876000242,Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235UCS003,2300100243,2026-2027,Advik Khan,Computer Science and Engineering,9876000243,Ghaziabad Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235UCS004,2300100244,2026-2027,Ananya Kumar,Computer Science and Engineering,9876000244,Delhi,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235UCS005,2300100245,2026-2027,Arjun Kapoor,Computer Science and Engineering,9876000245,Meerut Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235UCS006,2300100246,2026-2027,Avni Saini,Computer Science and Engineering,9876000246,Agra Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235UCS007,2300100247,2026-2027,Dev Verma,Computer Science and Engineering,9876000247,Mathura Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235UCS008,2300100248,2026-2027,Diya Mehta,Computer Science and Engineering,9876000248,Aligarh Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235UCS009,2300100249,2026-2027,Ishaan Agarwal,Computer Science and Engineering,9876000249,Hapur Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235UCS010,2300100250,2026-2027,Kavya Srivastava,Computer Science and Engineering,9876000250,Bulandshahr Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,A
235UCS011,2300100251,2026-2027,Krish Mishra,Computer Science and Engineering,9876000251,Greater Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235UCS012,2300100252,2026-2027,Meera Chauhan,Computer Science and Engineering,9876000252,Noida Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235UCS013,2300100253,2026-2027,Naksh Arora,Computer Science and Engineering,9876000253,Ghaziabad Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235UCS014,2300100254,2026-2027,Navya Singh,Computer Science and Engineering,9876000254,Delhi,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235UCS015,2300100255,2026-2027,Pranav Joshi,Computer Science and Engineering,9876000255,Meerut Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235UCS016,2300100256,2026-2027,Riya Jain,Computer Science and Engineering,9876000256,Agra Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235UCS017,2300100257,2026-2027,Rohan Chandra,Computer Science and Engineering,9876000257,Mathura Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235UCS018,2300100258,2026-2027,Saanvi Patel,Computer Science and Engineering,9876000258,Aligarh Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235UCS019,2300100259,2026-2027,Samarth Saxena,Computer Science and Engineering,9876000259,Hapur Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235UCS020,2300100260,2026-2027,Siya Rao,Computer Science and Engineering,9876000260,Bulandshahr Uttar Pradesh,Computer Science and Engineering,School of Information and Communication Technology,3,5,B
235UEA001,2300100261,2026-2027,Vedant Gupta,Electronics AI and Machine Learning,9876000261,Greater Noida Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235UEA002,2300100262,2026-2027,Vanya Bansal,Electronics AI and Machine Learning,9876000262,Noida Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235UEA003,2300100263,2026-2027,Vihaan Malhotra,Electronics AI and Machine Learning,9876000263,Ghaziabad Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235UEA004,2300100264,2026-2027,Zara Sharma,Electronics AI and Machine Learning,9876000264,Delhi,Electronics AI and Machine Learning,School of Engineering,2,3,A
235UEA005,2300100265,2026-2027,Aarav Yadav,Electronics AI and Machine Learning,9876000265,Meerut Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235UEA006,2300100266,2026-2027,Aditi Tiwari,Electronics AI and Machine Learning,9876000266,Agra Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235UEA007,2300100267,2026-2027,Advik Khan,Electronics AI and Machine Learning,9876000267,Mathura Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235UEA008,2300100268,2026-2027,Ananya Kumar,Electronics AI and Machine Learning,9876000268,Aligarh Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235UEA009,2300100269,2026-2027,Arjun Kapoor,Electronics AI and Machine Learning,9876000269,Hapur Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235UEA010,2300100270,2026-2027,Avni Saini,Electronics AI and Machine Learning,9876000270,Bulandshahr Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,A
235UEA011,2300100271,2026-2027,Dev Verma,Electronics AI and Machine Learning,9876000271,Greater Noida Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235UEA012,2300100272,2026-2027,Diya Mehta,Electronics AI and Machine Learning,9876000272,Noida Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235UEA013,2300100273,2026-2027,Ishaan Agarwal,Electronics AI and Machine Learning,9876000273,Ghaziabad Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235UEA014,2300100274,2026-2027,Kavya Srivastava,Electronics AI and Machine Learning,9876000274,Delhi,Electronics AI and Machine Learning,School of Engineering,2,3,B
235UEA015,2300100275,2026-2027,Krish Mishra,Electronics AI and Machine Learning,9876000275,Meerut Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235UEA016,2300100276,2026-2027,Meera Chauhan,Electronics AI and Machine Learning,9876000276,Agra Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235UEA017,2300100277,2026-2027,Naksh Arora,Electronics AI and Machine Learning,9876000277,Mathura Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235UEA018,2300100278,2026-2027,Navya Singh,Electronics AI and Machine Learning,9876000278,Aligarh Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235UEA019,2300100279,2026-2027,Pranav Joshi,Electronics AI and Machine Learning,9876000279,Hapur Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235UEA020,2300100280,2026-2027,Riya Jain,Electronics AI and Machine Learning,9876000280,Bulandshahr Uttar Pradesh,Electronics AI and Machine Learning,School of Engineering,2,3,B
235UEC001,2300100281,2026-2027,Rohan Chandra,Electronics and Communication Engineering,9876000281,Greater Noida Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,A
235UEC002,2300100282,2026-2027,Saanvi Patel,Electronics and Communication Engineering,9876000282,Noida Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,A
235UEC003,2300100283,2026-2027,Samarth Saxena,Electronics and Communication Engineering,9876000283,Ghaziabad Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,A
235UEC004,2300100284,2026-2027,Siya Rao,Electronics and Communication Engineering,9876000284,Delhi,Electronics and Communication Engineering,School of Engineering,2,3,A
235UEC005,2300100285,2026-2027,Vedant Gupta,Electronics and Communication Engineering,9876000285,Meerut Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,A
235UEC006,2300100286,2026-2027,Vanya Bansal,Electronics and Communication Engineering,9876000286,Agra Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,A
235UEC007,2300100287,2026-2027,Vihaan Malhotra,Electronics and Communication Engineering,9876000287,Mathura Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,A
235UEC008,2300100288,2026-2027,Zara Sharma,Electronics and Communication Engineering,9876000288,Aligarh Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,A
235UEC009,2300100289,2026-2027,Aarav Yadav,Electronics and Communication Engineering,9876000289,Hapur Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,A
235UEC010,2300100290,2026-2027,Aditi Tiwari,Electronics and Communication Engineering,9876000290,Bulandshahr Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,A
235UEC011,2300100291,2026-2027,Advik Khan,Electronics and Communication Engineering,9876000291,Greater Noida Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,B
235UEC012,2300100292,2026-2027,Ananya Kumar,Electronics and Communication Engineering,9876000292,Noida Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,B
235UEC013,2300100293,2026-2027,Arjun Kapoor,Electronics and Communication Engineering,9876000293,Ghaziabad Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,B
235UEC014,2300100294,2026-2027,Avni Saini,Electronics and Communication Engineering,9876000294,Delhi,Electronics and Communication Engineering,School of Engineering,2,3,B
235UEC015,2300100295,2026-2027,Dev Verma,Electronics and Communication Engineering,9876000295,Meerut Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,B
235UEC016,2300100296,2026-2027,Diya Mehta,Electronics and Communication Engineering,9876000296,Agra Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,B
235UEC017,2300100297,2026-2027,Ishaan Agarwal,Electronics and Communication Engineering,9876000297,Mathura Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,B
235UEC018,2300100298,2026-2027,Kavya Srivastava,Electronics and Communication Engineering,9876000298,Aligarh Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,B
235UEC019,2300100299,2026-2027,Krish Mishra,Electronics and Communication Engineering,9876000299,Hapur Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,B
235UEC020,2300100300,2026-2027,Meera Chauhan,Electronics and Communication Engineering,9876000300,Bulandshahr Uttar Pradesh,Electronics and Communication Engineering,School of Engineering,2,3,B
235UIT001,2300100301,2026-2027,Naksh Arora,Information Technology,9876000301,Greater Noida Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235UIT002,2300100302,2026-2027,Navya Singh,Information Technology,9876000302,Noida Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235UIT003,2300100303,2026-2027,Pranav Joshi,Information Technology,9876000303,Ghaziabad Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235UIT004,2300100304,2026-2027,Riya Jain,Information Technology,9876000304,Delhi,Information Technology,School of Information and Communication Technology,2,3,A
235UIT005,2300100305,2026-2027,Rohan Chandra,Information Technology,9876000305,Meerut Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235UIT006,2300100306,2026-2027,Saanvi Patel,Information Technology,9876000306,Agra Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235UIT007,2300100307,2026-2027,Samarth Saxena,Information Technology,9876000307,Mathura Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235UIT008,2300100308,2026-2027,Siya Rao,Information Technology,9876000308,Aligarh Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235UIT009,2300100309,2026-2027,Vedant Gupta,Information Technology,9876000309,Hapur Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235UIT010,2300100310,2026-2027,Vanya Bansal,Information Technology,9876000310,Bulandshahr Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,A
235UIT011,2300100311,2026-2027,Vihaan Malhotra,Information Technology,9876000311,Greater Noida Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235UIT012,2300100312,2026-2027,Zara Sharma,Information Technology,9876000312,Noida Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235UIT013,2300100313,2026-2027,Aarav Yadav,Information Technology,9876000313,Ghaziabad Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235UIT014,2300100314,2026-2027,Aditi Tiwari,Information Technology,9876000314,Delhi,Information Technology,School of Information and Communication Technology,2,3,B
235UIT015,2300100315,2026-2027,Advik Khan,Information Technology,9876000315,Meerut Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235UIT016,2300100316,2026-2027,Ananya Kumar,Information Technology,9876000316,Agra Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235UIT017,2300100317,2026-2027,Arjun Kapoor,Information Technology,9876000317,Mathura Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235UIT018,2300100318,2026-2027,Avni Saini,Information Technology,9876000318,Aligarh Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235UIT019,2300100319,2026-2027,Dev Verma,Information Technology,9876000319,Hapur Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235UIT020,2300100320,2026-2027,Diya Mehta,Information Technology,9876000320,Bulandshahr Uttar Pradesh,Information Technology,School of Information and Communication Technology,2,3,B
235UVL001,2300100321,2026-2027,Ishaan Agarwal,VLSI Design and Embedded Systems,9876000321,Greater Noida Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,A
235UVL002,2300100322,2026-2027,Kavya Srivastava,VLSI Design and Embedded Systems,9876000322,Noida Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,A
235UVL003,2300100323,2026-2027,Krish Mishra,VLSI Design and Embedded Systems,9876000323,Ghaziabad Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,A
235UVL004,2300100324,2026-2027,Meera Chauhan,VLSI Design and Embedded Systems,9876000324,Delhi,VLSI Design and Embedded Systems,School of Engineering,2,3,A
235UVL005,2300100325,2026-2027,Naksh Arora,VLSI Design and Embedded Systems,9876000325,Meerut Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,A
235UVL006,2300100326,2026-2027,Navya Singh,VLSI Design and Embedded Systems,9876000326,Agra Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,A
235UVL007,2300100327,2026-2027,Pranav Joshi,VLSI Design and Embedded Systems,9876000327,Mathura Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,A
235UVL008,2300100328,2026-2027,Riya Jain,VLSI Design and Embedded Systems,9876000328,Aligarh Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,A
235UVL009,2300100329,2026-2027,Rohan Chandra,VLSI Design and Embedded Systems,9876000329,Hapur Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,A
235UVL010,2300100330,2026-2027,Saanvi Patel,VLSI Design and Embedded Systems,9876000330,Bulandshahr Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,A
235UVL011,2300100331,2026-2027,Samarth Saxena,VLSI Design and Embedded Systems,9876000331,Greater Noida Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,B
235UVL012,2300100332,2026-2027,Siya Rao,VLSI Design and Embedded Systems,9876000332,Noida Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,B
235UVL013,2300100333,2026-2027,Vedant Gupta,VLSI Design and Embedded Systems,9876000333,Ghaziabad Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,B
235UVL014,2300100334,2026-2027,Vanya Bansal,VLSI Design and Embedded Systems,9876000334,Delhi,VLSI Design and Embedded Systems,School of Engineering,2,3,B
235UVL015,2300100335,2026-2027,Vihaan Malhotra,VLSI Design and Embedded Systems,9876000335,Meerut Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,B
235UVL016,2300100336,2026-2027,Zara Sharma,VLSI Design and Embedded Systems,9876000336,Agra Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,B
235UVL017,2300100337,2026-2027,Aarav Yadav,VLSI Design and Embedded Systems,9876000337,Mathura Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,B
235UVL018,2300100338,2026-2027,Aditi Tiwari,VLSI Design and Embedded Systems,9876000338,Aligarh Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,B
235UVL019,2300100339,2026-2027,Advik Khan,VLSI Design and Embedded Systems,9876000339,Hapur Uttar Pradesh,VLSI Design and Embedded Systems,School of Engineering,2,3,B
